ts in ms,player id,group id,x in m,y in m
1160,8,1,12.957,4.054
1160,3,1,7.617,5.361
1160,9,1,-0.411,-0.972
1160,4,1,11.552,-2.067
1160,10,1,11.872,-6.331
1160,15,2,9.903,-4.493
1160,20,2,0.887,-5.858
1160,22,2,12.073,-0.780
1160,18,2,11.095,-1.759
1160,21,2,7.148,4.362
1200,8,1,12.960,4.097
1200,3,1,7.565,5.346
1200,9,1,-0.503,-1.024
1200,4,1,11.497,-2.094
1200,10,1,11.918,-6.261
1200,15,2,9.985,-4.535
1200,20,2,0.927,-5.831
1200,22,2,12.089,-0.805
1200,18,2,11.077,-1.795
1200,21,2,7.157,4.343
1240,8,1,12.963,4.106
1240,3,1,7.529,5.276
1240,9,1,-0.512,-1.097
1240,4,1,11.464,-2.152
1240,10,1,12.009,-6.175
1240,15,2,10.116,-4.612
1240,20,2,0.972,-5.773
1240,22,2,12.076,-0.869
1240,18,2,11.040,-1.844
1240,21,2,7.212,4.282
1280,8,1,12.969,4.106
1280,3,1,7.471,5.249
1280,9,1,-0.594,-1.131
1280,4,1,11.439,-2.192
1280,10,1,12.076,-6.114
1280,15,2,10.187,-4.676
1280,20,2,1.024,-5.724
1280,22,2,12.098,-0.908
1280,18,2,11.019,-1.890
1280,21,2,7.224,4.255
1320,8,1,12.969,4.112
1320,3,1,7.437,5.206
1320,9,1,-0.619,-1.189
1320,4,1,11.387,-2.237
1320,10,1,12.137,-6.011
1320,15,2,10.281,-4.752
1320,20,2,1.070,-5.663
1320,22,2,12.110,-0.963
1320,18,2,11.003,-1.920
1320,21,2,7.248,4.209
1360,8,1,12.969,4.112
1360,3,1,7.437,5.163
1360,9,1,-0.619,-1.231
1360,4,1,11.345,-2.280
1360,10,1,12.180,-5.880
1360,15,2,10.366,-4.752
1360,20,2,1.113,-5.621
1360,22,2,12.110,-1.052
1360,18,2,10.961,-1.963
1360,21,2,7.291,4.167
1400,8,1,12.975,4.106
1400,3,1,7.416,5.121
1400,9,1,-0.610,-1.286
1400,4,1,11.287,-2.332
1400,10,1,12.244,-5.761
1400,15,2,10.470,-4.801
1400,20,2,1.164,-5.550
1400,22,2,12.128,-1.103
1400,18,2,10.955,-1.984
1400,21,2,7.315,4.115
1440,8,1,12.975,4.063
1440,3,1,7.416,5.078
1440,9,1,-0.610,-1.329
1440,4,1,11.244,-2.374
1440,10,1,12.290,-5.672
1440,15,2,10.601,-4.801
1440,20,2,1.207,-5.462
1440,22,2,12.171,-1.146
1440,18,2,10.909,-1.984
1440,21,2,7.401,4.072
1480,8,1,12.969,4.017
1480,3,1,7.398,5.035
1480,9,1,-0.573,-1.384
1480,4,1,11.208,-2.426
1480,10,1,12.351,-5.554
1480,15,2,10.711,-4.819
1480,20,2,1.262,-5.386
1480,22,2,12.201,-1.195
1480,18,2,10.912,-1.996
1480,21,2,7.440,4.008
1520,8,1,12.969,3.975
1520,3,1,7.352,4.993
1520,9,1,-0.573,-1.430
1520,4,1,11.162,-2.469
1520,10,1,12.393,-5.422
1520,15,2,10.799,-4.819
1520,20,2,1.305,-5.301
1520,22,2,12.244,-1.238
1520,18,2,10.958,-1.996
1520,21,2,7.483,3.923
1560,8,1,12.963,3.932
1560,3,1,7.315,4.950
1560,9,1,-0.530,-1.469
1560,4,1,11.128,-2.524
1560,10,1,12.451,-5.304
1560,15,2,10.897,-4.807
1560,20,2,1.359,-5.221
1560,22,2,12.290,-1.289
1560,18,2,10.961,-2.003
1560,21,2,7.544,3.847
1600,8,1,12.963,3.889
1600,3,1,7.288,4.898
